Experiment: Table Size: 765211, Load Factor: 0.7
Table Size: 765211, Load Factor: 0.70

Total Insertion Time: 27.70 ms
Total Collisions During Insertion: 308583


Subset: 10 Words
Word: 'hystazarin', Probes: 4, Search Time: 9.30 µs, Collisions: 3
Word: 'mules', Probes: 1, Search Time: 0.60 µs, Collisions: 0
Word: 'rebaled', Probes: 1, Search Time: 0.50 µs, Collisions: 0
Word: 'hereditaments', Probes: 2, Search Time: 1.00 µs, Collisions: 1
Word: 'apodioxis', Probes: 1, Search Time: 0.60 µs, Collisions: 0
Word: 'prefeudal', Probes: 1, Search Time: 0.60 µs, Collisions: 0
Word: 'galvanofaradization', Probes: 1, Search Time: 0.90 µs, Collisions: 0
Word: 'currachs', Probes: 1, Search Time: 0.50 µs, Collisions: 0
Word: 'gastrea', Probes: 1, Search Time: 0.50 µs, Collisions: 0
Word: 'Resuscitated', Probes: -1, Search Time: 0.30 µs, Collisions: -2

Subset: 20 Words
Word: 'custumal', Probes: 1, Search Time: 0.60 µs, Collisions: 0
Word: 'fibrochondrosteal', Probes: 1, Search Time: 0.50 µs, Collisions: 0
Word: 'fullwords', Probes: 1, Search Time: 0.70 µs, Collisions: 0
Word: 'evadible', Probes: 1, Search Time: 0.50 µs, Collisions: 0
Word: 'tuffets', Probes: 1, Search Time: 0.60 µs, Collisions: 0
Word: 'shirtiness', Probes: 1, Search Time: 0.60 µs, Collisions: 0
Word: 'hydroxyapatite', Probes: 1, Search Time: 0.50 µs, Collisions: 0
Word: 'Fabe', Probes: 1, Search Time: 0.60 µs, Collisions: 0
Word: 'theropodous', Probes: 2, Search Time: 0.90 µs, Collisions: 1
Word: 'IX', Probes: 3, Search Time: 1.00 µs, Collisions: 2
Word: 'dulias', Probes: 1, Search Time: 0.60 µs, Collisions: 0
Word: 'rubeoloid', Probes: 2, Search Time: 0.80 µs, Collisions: 1
Word: 'home-sickness', Probes: 1, Search Time: 0.50 µs, Collisions: 0
Word: 'superconsecrated', Probes: 1, Search Time: 0.60 µs, Collisions: 0
Word: 'Nedi', Probes: 1, Search Time: 0.50 µs, Collisions: 0
Word: 'myomantic', Probes: 3, Search Time: 0.90 µs, Collisions: 2
